,X,Y
24,"Эти красные пятнышки вылезают постоянно. Вроде бы вылечим их мазью Циндолом, а они опять через две недели вылезают. Уже не знаем как с ними бороться скажите чем лечить?",1
25," Иммуноглобулин Е11,4 МЕ/мл, склонны ли мы к аллергии?",1
26,"Подскажите пожалуйста. У меня опухают, краснеют, чешутся верхние веки. С чем это связано и как лечить?",1
27,"здравствуйте! У меня началось раздражение от тонального крема. Мне выписали таблетки доксициклин, ординазол-веро(10 дней, тогда еще не пила доксициклин), мази метрогил, клензит С, азелик. Сначала врач прописала пить доксициклин 10 дней, но на 8 день прыщи снова начались. Тогда врач прописала пить доксициклин 20 дней. На 15 день лечения начался начался зуд и я снова решила пропить ординазол-веро. Но зуд и сыпь становились сильнее и я решила еще попить доксициклин. На 24 день лечения доксициклином у меня вся шея покрылась сыпью, зуд и очень жжет, как ожег. Скажите, как лечить? С уважением, Ирина!",1
28,"Здравствуйте, мне 30 лет,6 лет уже аллергия, ладошки покрывались водяными пузырьками, на голове раны и из них всегда сочилось, на щёках отёк, уши краснели, всё это было по 2р/год, работала санитаркой в пол-ке и после соприкосновения с хлоркой становилось хуже, пришлось уволиться 1,5 года назад. Лечил меня дерматолог т. к. Аллерголога у нас нет, перепробовали всё от супрастина до Эриуса, чаще ставили уколы Дексаметазона, в мае месяце появилось неприятное чувство в горле, как будто что то мешает, я как всегда думала аллергия пошла к дерматологу, назначили уколы Дексаметазона, не помогло, назначили Эриус. Пропила всё легче не стало стало от этого кома в горле тошнить, не могла есть постоянно тошнило, стал болеть желудок, дерматолог сказал что нужен аллерголог он помочь не может, поехала в другой город только в августе к аллергологу, он назначил мне обследование, сдала кровь всё в норме только(эзинофилов-7, холестирин-6,4, билирубин14,5), сдала кровь на метод иммуноблота(показало аллергию пищевую на таматы и краб), сделала УЗИ печени, желчного пузыря, поджелудочной железы, селезёнки всё отлично(только деформация(перегиб) желчного пузыря), ЭКГ в норме, давление тоже, узи щитовидной железы показало(гиперплазия, узел левой доли щитовидной желез) анализ крови на гормоны, показал что всё в норме, ФКДС показало что слизистая желудка атрофируется, со всем обследованием пошла снова к аллергологу-назначил(гип-диету, лордестин(пить 6 мес), омез, трихопол, азитрокс для желудка, атаракс, лактофильтрум) я соблюдала диету очень строго, пила все лекарства, с головы ушли все раны, руки стали чистыми, но ком остался, глотать было тяжело, появилась тяжесть в шее, мышцы шеи стали ныть, отдавало в уши и гланды, есть стала ещё меньше.5 октября меня бросило в жар, голова как пьяная, паника, этот ком, тяжело дышать, ела только сухарики и геркулес, аллергии вроде и быть не должно, вызвала скорую, они посмотрели карточку поставили дексаметазон и забрали меня, в больнице под капельницу, прокапали меня 3 дня и отпустили, лордестин я соответственно не пила 3 дня, терапевт в отделении сказал его не пить, позвонила аллергологу, который лечение назначал в другой город, она посоветовала сходить к лору и невропотологу, лор назначил в нос уколы Дексаметазона 5шт, через день, сказал что наростов и опухолей нет, т. е. Не чему мешать, после уколов я капала 1.5 мес Альдецин, лор сказал всё пройдёт, стало ещё хуже, в конце языка появилось чувство неприятное после жевания, и челюсть болеть стала, шея ужасно ныла и грудные кости стали болеть, даже в лопатки отдавало, на щеках появилось чувство жжения и щипания, но они не краснели, чувство как будто я была на морозе и они замёрзли и отогреваются, в глазах капеляры большие, часто глаза красные, стала плохо видеть, не могу иногда сфокусироваться, я пошла к невропатологу, он отправил на рентген, рентгенолог написал(остеохондроз шейного отдела позвонка (субхондральный склерозС3-С4тел позванков. Краевые костные разростания по переднему краю с3-с4), назначил уколы мидокалм, актовегин, вольтарен, поставили укол, мне стало плохо аж уши заложило, состояние просто ужасное, как будто от наркоза отхожу, вызвали терапевта, поставили укол от аллергии и отправили домой, к какому теперь идти я не знаю, что делать тоже, на диете с 6 августа была 86 кг сейчас 40, есть боюсь, всё на гип. Диете, морально уже нет сил, помогите мне пожалуйста если сможете, что со мной?",1
29,"Здравствуйте! У меня и у моей дочери такая проблема, нас беспокоят красные пятна, которые выходят в основном на руках, ногах, лице и в поясничном отделе. Обнаружилось это все с начало у дочке, вышли пятна на запястье, стали мазать мазью, проходили, и обратно выходили в других местах. Пили таблетки от аллергии и все равно тоже самое, они затухают и выходят на новых местах. У меня тоже самое, только чуть-чуть меньше, чем у нее. Они красноватого цвета, бывают разного размера, есть сильный суд при чесании особенно, не шелушатся. Животных у нас нет, кушаем все тоже самое. Посоветуйте какие ни будь препараты эффективные. Заранее спасибо!",1
30,"Здравствуйте.  После подкожных инъекций в верхнюю треть плеча лидазой, растворенной в 2 мл новокаина 0,5%,  в области инъекции покраснение, опухоль и боль. Чем можно противодействовать этому, не прекращая инъекции?  Спасибо.",1
31,"Здравствуйте! У моего ребенка (2,5 месяца) месяц назад появилась аллергическая сыпь, на что точно была аллергия мы не выяснили, пролечились бепантеном и врач нам выписала мазь которую нам сделали в аптеке, сыпь прошла, а кожа осталась шершавой. Подскажите пожалуйста, может какой-нибудь крем, либо масло для тела, либо опять лечение?",1
32,"Здравствуйте!  Ми принимали сироп Лазолван, и у ребенка появилась ужасная сыпь на животе, спинке, между ножек и на щеках. А так же у нее печет во рту - язык темно красный и губы.  Подскажите, что делать?",1
33,Доброго времени суток. Доктор такая вот у меня ситуация. Примерно начиная с сентября месяца потек мой нос. На мой взгляд причиной на это стал кондиционер. Сегодня 15 января но ни как не могу вылечить его. Должен сказать что после мокрых соплей заболеванием перешло на другой уровень. Я применял много различных спреев. Очень эффективным оказался Беконазе - посоветовали в аптеке сказали возможно это уже как аллергия. И в правду мне достаточно было использовать его 2 раза на день. Однако им пользовался я примерно месяц но все после обратно вернулось на круги своя. Паровые бани для носа абсолютно не помогают. Он заложен примерно 12-15 часов в день то одна ноздря то другая. Каждые 2-3 недели опускается до легких - преследует Легкий кашель. Это впервые я так долго не могу выздороветь. Ни каких хронических заболеваний у меня нет.,1
34,"Здравствуйте!  2 года назад вдруг ни с того ни с чего начался зуд между пальцами ног..думал, что грибок, перепробовал кучу противогрибковых мазей, но безрезультатно..не мог заснуть ночью..только вроде бы обмывание водой немного успокаивало.. Так терпел 2 месяца (был в море) и потом пошёл к врачу в Испании..они взяли у меня с пальца анализ крови и прописали Атаракс и ещё какое то лекарство (которое я должен был принимать недолго).. После начала приёма Атаракса зуд прошёл..на неделю... Вот так и принимаю его 1 таблетку в неделю..если перестаю принимать то опять начинается зуд, теперь уже везде, не только между пальцев ног, но и под мышками, между пальцев рук, живот и т. д.. Никаких высыпаний, покраснений, прыщиков или пятен на коже вообще не было и нет.. Да и на аллергию раньше я никогда не жаловался.. Уж не знаю, что и думать!! Помогите советом! Заранее спасибо! ",1
35,"Проснулась похожая на аватара: опухание сильное настолько что на внутренних углах глаз образовались складки, огромные мешки на скулах, от слез разъелись и покраснели внешние углы глаз, они чешутся как и верхние веки очень сильно... Накануне приняла ""мелаксен"" 1 таб., сегодня тавегил, но пока безуспешно.",1
36,"Добрый день! Моему ребенку 7 месяцев. Три месяца назад я заметила у себя на лице вокруг рта высыпания в виде мелких красных гнойничков. Выясняя от чего это, поняла. Я часто, естественно, как мать, целую своего кроху, он часто слюнявый, ибо лезут зубы... И как только я соприкасаюсь с его слюной на моське, буквально к вечеру этого дня я в прыщах и они очень долго заживают... Но если я опять его целую, снова появляются и так постоянно!! Помогите пожалуйста избавиться от этой аллергии!! Спасибо.",1
37,"Здравствуйте, у моей дочери (5,5 лет) диагноз бронхиальная астма в легкой форме. Чаще всего приступы проявляются при заболевании простудой и сопровождается частым, сухим кашлем, иной раз и до рвоты. В 2013г ездили на Азовское море (Арабатская стрелка, термальные источники). Подскажите куда лучше ехать, а то у нас присутствуют сомнения, можно ли ехать на Азовское море? ",1
38,"Результат полоскательного теста (ультракаин - 100мг/мл) такой: исследование 1--1880 лейкоцитов, исследование 2--1210, исследование 3--790. У меня есть аллергия на ультракаин или нет?",1
39,"У меня выходит красное пятно в одном месте, потом на следующий день проходит выходит в другом месте. Что это может быть? Спасибо)))))",1
40,"Доброго времени суток. Отцу 72 года, чувствует себя хорошо. У него анко болезнь предстательной железы, лечится таблетками. Периодически сдает анализы - все все было в норме, но вот два месяца назад стал резко падать показатель аллергенов в крови (на сегодня уже 13 единиц). Никто не может в этом разобраться. Может посоветуете - от чего и чем лечиться. Заранее благодарен.",1
41,"Здравствуйте, у меня после запахов бытовой химии, зуд и жжение во рту. Бывает ли аллергия на запахи?",1
42,"Пожалуйста помогите. Подскажите. Дело в том что моему сыну 4 месяца. Мы полностью искусственники. По началу кушали малютку от нее высыпало. На третьем месяце перешли нутрилон гипоаллергенный. Но не помогло. И тут мы решили попробовать симилак. И о ЧУДО! 29, 30, 31 января кожа стала идеально чистая, нам сейчас 4 месяца. Но радость закончилась буквально 3 его февраля, на следующий день он резко заболел температура под 39, врач сказала ангина и прописала нурофен и тонзигон! 2 дня подавали лекарство, выздоровел… температура спала. А это вообще зубик оказался а не ангина сегодня обнаружила его) страшно то что теперь по всему лицу жуткая красная чешуя, хуже чем была когда либо… и еще на лбу выделяется жидочка и на щечках тоже. Которая совсем не убирается.на ощупь она жирная. Ребенок чешется и плачет. Я совсем не знаю как мне быть. Чем помочь ему.страшно идти к врачу нам назначили Фенистил, зодак, фенистил гель но это все не помогает прошу вас помогите.",1
43,"Здравствуйте моему малышу 5 месяцев и уже второй день когда просыпаюсь вижу что у него припухшие веки причем правое припухло больше чем левое, и правое опухло больше и оно красное другой глаз абсолютно нормальный. Пожалуйста подскажите что это может быть? Как это лечить? И опасно ли это для здоровья малыша? Какие есть капельки для глаз таким маленьким подскажите пожалуйста. Заранее спасибо большое.",1
44,"Здравствуйте! У меня аллергия, ночью и днём постоянно капаю в нос. Летом мне выписывали назонекс, после лечения я забыла что такое капли и платок. Сейчас третий месяц опять мучаюсь этим. Как часто я могу пользоваться назонексом? И понижает ли назонекс иммунитет? Спасибо.",1
45,"Здравствуйте, у меня сыпь по щекам и рукам, ногам. Решили сдать анализ на какао и молоко, как подозревали. Помогите расшифровать анализ Какао антитела igE < 0.1 KU/L Молоко коровье антитела igE < 0.1 KU/L 0 класс до 0.35 1 класс от 0.35 до 0.69 и т. Д",1
46,"Здравствуйте, подскажите. У нас такая проблема. Диатез на щечках у нашего малыша не проходит. Мы пробовали и фенистил и супрастин. Не проходит. Появились покраснения на коленях. Поменяли смесь с Нестожен на Нутрилак. Стул нормализовался, стал желтый, а был как темно - зеленая краска, но покраснения не проходят. Сейчас планируем перейти на Нутрилак гипоаллергенный, хотя вряд ли маленький будет его кушать: ( Что посоветуете нам еще попробовать от аллергии и через какой промежуток времени возможно повторять курс приема лекарств от аллергии и нужно ли включать в этот курс совместно виброцил?",1
47,"Доброго времени суток Доктор. Мне 42 года, жалуюсь на кашель, похожий на аллергический, спустя 1,5-2 часа после завтрака. В 2008 году переболел пневмонией. С уважением, Малик",1
48,"Здравствуйте! У меня ни с того, ни с сего начали опухать веки глаз. С утра сильно, но потом в течении дня постепенно расходится (снижается опухоль). Не слезятся глаза и нет зуда, только опухоль. Уже неделю с этим мучаюсь. Сходили к офтальмологу, сказала, что похоже на блефарит-прописала капли и мазь, толку нет. Сходили к ней еще раз выписала еще дополнительные капли. Тоже нет результата. Сходили к аллергологу, сдала кровь на анализы. Большинство паразитов-отрицательно. Ресничный клещ-отрицательно. Остались пищевые и пыль, но пищевые врач сказала, вряд ли. Съездили к другому офтальмологу, сказала, толком не знает, что это, но похоже на уголковый конъюнктивит. В среду будут готовы недостающие анализы(пища, пыль). Сердце проверили-все в порядке. Мне 19. Не знаю, что и делать-то еще.",1
49,"Сдал кровь на Показатель lg E, он оказался равным 415.50, это нормально? Не дышит нос и выделяется слизь тоже из-за этого?",1
50,"Здравствуйте, 3 недели сухой кашель по ночам приступами, отекло горло, но не болит и сильно увеличены подчелюстные лимфоузлы. ЛОР сказал аллергия. Анализы показали: IgE 50,4; Нейтрофилы сегментоядерные 39 %; Базофилы 2 ++; Лимфоциты 44++; Моноциты 11%, СОЭ 2 (воспаления нет). Все остальные показатели в норме. Гормоны щитовидки тоже к норме. Подскажите пожалуйста что это может быть, аллергия ли, я в жизни никогда не страдала аллергией. Год назад завели кошку, 1,5 года назад появился длинноворсный ковер в доме, в остальном ничего не менялось. Иногда курю электронную сигарету. 
Спасибо. ",1
51,"Здравствуйте. Ребенку 1 год 2 мес. На щеках, ручках и наружной стороны бедра время от времени то появляются то пропадают красные пятнышки. Помазала адвантаном щечки на ночь. Прошли. Что это? Фото прилагаю",1
52,"Здравствуйте! Уже как год я каждый день чихаю. Раньше было так: к примеру, могла утором чихнуть от3-10 раз подряд, потом днёи и вечером, так же. Всегда было не меньше трех чихов:) подряд. Около месяца чихаю теперь только вечером и ночью. Это не сопровождается покраснение глаз или насморком, просто отпчихала несколько раз и все прошло. Мне это уже надоело. Что это может быть, скажите пожалуйсто? Спасибо!",1
53,"У доченьки уже в третий раз появляются красные шершавые пятна на ягодичках, после купания становятся ярче. Это аллергия или что-то другое? Заранее спасибо за ответ.",1
54,"Здравствуйте! Ребенку три года 3 месяца. Десять дней назад купила облепиховый морс при ресторане, ребенок выпил грамм сто, наверное, потом еще съела много орехов, и были еще сладости. Вскоре - вся попа покрылась красными пятнами (такого никогда не было). Стало было проходить, но через день опять покормили орешками - и стало хуже. Начала давать зодак (т. к. В прошлом году была аллергия не знаю на что - в апреле, может, на березу - под окном растет - был насморк и чесала глаза - с помощью зодака все быстро прошло), третий день даю полифепан и вот вчера заметила еще и покраснение горла и прыщики небольшие по обе стороны от ""язычка"". Начала ставить свечки виферон - может, подключилась простуда? Температура нормальная, на боль в горле не жалуется, кушает хорошо. Ничего сладкого больше не даю, едим каши на воде, вареные овощи. Может ли быть связь покраснения на попе с покраснением (не сильным) и прыщиками в горле. К врачу пока идти не хочется, чтобы не подхватить что-нибудь еще. Заранее благодарю за ответ!",1
